ganador,titulo,year,nominaciones,puntuacion,votos,criticas,coproduccion,genero,feroz_drama,feroz_comedia,forque,cec
0,El Niño,2015,16,6.1,36586,219,1,"['Thriller', 'Acción', 'Drama']",no_clasificado,no_clasificado,nominado,nominado
0,Magical Girl,2015,7,7.1,26796,202,0,"['Drama', 'Thriller']",nominado,no_clasificado,nominado,no_clasificado
0,Loreak (Flores),2015,2,6.6,9713,86,0,['Drama'],nominado,no_clasificado,no_clasificado,no_clasificado
0,Relatos salvajes,2015,9,7.7,69422,332,1,"['Comedia', 'Drama']",no_clasificado,no_clasificado,nominado,nominado
1,Truman,2016,6,7.0,29723,210,1,"['Drama', 'Comedia']",nominado,no_clasificado,ganador,ganador
0,A cambio de nada,2016,6,6.4,14129,85,0,['Drama'],nominado,no_clasificado,nominado,no_clasificado
0,La novia,2016,12,6.8,14923,118,1,"['Romance', 'Drama']",ganador,no_clasificado,no_clasificado,nominado
0,Nadie quiere la noche,2016,9,6.1,4672,49,1,"['Aventuras', 'Drama']",no_clasificado,no_clasificado,nominado,no_clasificado
0,Un día perfecto,2016,8,6.6,16602,123,0,['Drama'],no_clasificado,nominado,no_clasificado,nominado
1,Tarde para la ira,2017,11,6.9,36778,240,0,['Thriller'],ganador,no_clasificado,ganador,ganador
0,El hombre de las mil caras,2017,11,6.7,21172,109,0,"['Thriller', 'Drama']",nominado,no_clasificado,nominado,nominado
0,Julieta,2017,7,6.3,18658,158,0,['Drama'],nominado,no_clasificado,nominado,nominado
0,Que Dios nos perdone,2017,6,7.1,34832,195,0,"['Thriller', 'Drama']",nominado,no_clasificado,nominado,no_clasificado
0,Un monstruo viene a verme,2017,12,6.6,38824,291,1,"['Fantástico', 'Drama']",nominado,no_clasificado,nominado,no_clasificado
1,La librería,2018,12,6.2,11427,100,1,['Drama'],no_clasificado,no_clasificado,nominado,ganador
0,Verano 1993,2018,8,6.8,18267,145,0,['Drama'],ganador,no_clasificado,nominado,nominado
